id;item;location;region;campaign;item_url;location_screenshot_url
121;3 Jungle Troll Tusks;Racine enchevêtrée;Jungle de Maguuma;Prophecies;https://wiki.guildwars.com/wiki/Jungle_Troll_Tusk;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Tangle_Root_map.jpg
122;1 Sapphire Djinn Essence;Makuun Resplendissant;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Sapphire_Djinn_Essence;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Resplendent_Makuun_map.jpg
123;1 Stone Carving;Pierre Arborea (zone d'exploration);Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Stone_Carving;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Arborstone_(explorable_area)_map.jpg
124;3 Feathered Caromi Scalps;Kryte du Nord;Kryte;Prophecies;https://wiki.guildwars.com/wiki/Feathered_Caromi_Scalp;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_North_Kryta_Province_map.jpg
125;1 Pillaged Goods;Territoire de Chokhin;Vabbi;Nightfall;https://wiki.guildwars.com/wiki/Pillaged_Goods;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Holdings_of_Chokhin_map.jpg
126;1 Gold Crimson Skull Coin;Lagon d'Haiju;Iles de Shing Jea;Factions;https://wiki.guildwars.com/wiki/Gold_Crimson_Skull_Coin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Haiju_Lagoon_map.jpg
127;3 Jade Bracelets;Temple de Tahnnakai (zone d'exploration);Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Jade_Bracelet;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Tahnnakai_Temple_(explorable_area)_map.jpg
128;2 Minotaur Horns;Chemin du Prophète;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Minotaur_Horn;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Prophet%27s_Path_map.jpg
129;2 Frosted Griffon Wings;Danse du Serpent;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Frosted_Griffon_Wing;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Snake_Dance_map.jpg
130;2 Silver Bullion Coins;Archipel de Mehtani;Istan;Nightfall;https://wiki.guildwars.com/wiki/Silver_Bullion_Coin;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Mehtani_Keys_map.jpg
131;1 Truffle;Chemin de Morostav;Forêt d'Echovald;Factions;https://wiki.guildwars.com/wiki/Truffle;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Morostav_Trail_map.jpg
132;3 Skelk Claws;Cascades verdoyantes;Côte Ternie;Eye of the North;https://wiki.guildwars.com/wiki/Skelk_Claw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Verdant_Cascades_map.jpg
133;2 Dessicated Hydra Claws;La Cicatrice;Désert de Crystal;Prophecies;https://wiki.guildwars.com/wiki/Dessicated_Hydra_Claw;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_The_Scar_map.jpg
134;3 Frigid Hearts;Pic de la Tête de Lance;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Frigid_Heart;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Spearhead_Peak_map.jpg
135;3 Celestial Essences;Quartiers de Nahpui (zone d'exploration);Cité de Kaineng;Factions;https://wiki.guildwars.com/wiki/Celestial_Essence;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Nahpui_Quarter_(explorable_area)_map.jpg
136;1 Phantom Residue;Passage de Lornar;Cimefroides du Sud;Prophecies;https://wiki.guildwars.com/wiki/Phantom_Residue;https://wiki.guildwars.com/wiki/File:Nicholas_the_Traveler_Lornar%27s_Pass_map.jpg
