skillId;skillName;skillDescription
426;Savage Shot;Bow Attack. If Savage Shot hits, your target's action is interrupted.  If that action was a spell, you strike for +13...25...28 damage.
427;Antidote Signet;Signet. Cleanse yourself of Poison, Disease, and Blindness, and one additional condition.
428;Incendiary Arrows;Elite Bow Attack. Shoot arrows at target foe and up to 2 foes near your target. Those foes are set on fire for 1...3...3 second[s].
429;Melandru's Arrows;Elite Preparation. For 18 seconds, whenever your arrows hit, they cause Bleeding for 3...21...25 seconds, and if they hit a target who is under an enchantment, they do +8...24...28 damage.
430;Marksman's Wager;Elite Preparation. For 18 seconds, you gain 5...9...10 Energy whenever your arrows hit, but lose 10 Energy whenever your arrows fail to strike.
431;Ignite Arrows;Preparation. For 24 seconds, your arrows explode on contact, dealing 3...15...18 fire damage to target and all adjacent foes.
432;Read the Wind;Preparation. For 24 seconds, your arrows move twice as fast and deal 3...9...10 extra damage.
433;Kindle Arrows;Preparation. For 24 seconds, your arrows deal fire damage and hit for an additional 3...20...24 fire damage.
434;Choking Gas;Preparation. For 1...10...12 seconds, your arrows deal 1...7...8 more damage and spread Choking Gas to all adjacent foes on impact.  Choking Gas interrupts foes attempting to cast spells.
435;Apply Poison;Preparation. For 24 seconds, foes struck by your physical attacks become Poisoned for 3...13...15 seconds.
436;Comfort Animal;Skill.  You heal your animal companion for 20...87...104 Health. If your companion is dead, it is resurrected with 10...48...58% Health. If you have Comfort Animal equipped, your animal companion will travel with you.
437;Bestial Pounce;Pet Attack. Your animal companion attempts a Bestial Pounce that deals +5...17...20 damage. If the attack strikes a foe who is casting a spell, that foe is knocked down.
438;Maiming Strike;Pet Attack. Your animal companion attempts a Maiming Strike that deals +5...17...20 damage. If that attack hits a moving foe that foe becomes Crippled for 3...13...15 seconds.
439;Feral Lunge;Pet Attack. Your animal companion attempts a Feral Lunge that deals +5...29...35 damage. If the attack strikes a foe who is attacking, that foe suffers from Bleeding for 5...21...25 seconds.
440;Scavenger Strike;Pet Attack. Your animal companion attempts a Scavenger Strike that deals +10...22...25 damage. If the attack strikes a foe who is suffering a condition, you gain 3...13...15 Energy.
441;Melandru's Assault;Pet Attack. Your animal companion attempts a Melandru's Assault that deals +5...17...20 damage to all nearby foes.
442;Ferocious Strike;Elite Pet Attack. Your animal companion attempts a Ferocious Strike that deals  +13...25...28 damage. If that attack hits, you gain adrenaline and 3...9...10 Energy.
443;Predator's Pounce;Pet Attack. Your animal companion attempts a Predator's Pounce that deals +5...29...35 damage. If that attack hits, your animal companion gains 5...41...50 Health.
444;Brutal Strike;Pet Attack. Your animal companion attempts a Brutal Strike that deals +5...29...35 damage. If that attack strikes a foe whose Health is below 50%, that foe takes an additional +5...29...35 damage.
445;Disrupting Lunge;Pet Attack. Your animal companion attempts a Disrupting Lunge that deals +1...10...12 damage. If that attack strikes a foe using a skill that skill is interrupted and is disabled for an additional 20 seconds.
446;Troll Unguent;Skill. For 13 seconds, you gain +3...9...10 Health regeneration.
447;Otyugh's Cry;Shout. For 10...22...25 seconds, your animal companion gains +24 armor and cannot be blocked.
448;Escape;Elite Stance. For 1...7...8 second[s], you move 33% faster and have a 75% chance to block attacks.
449;Practiced Stance;Elite Stance. For 20...32...35 seconds, your Preparations recharge 50% faster and last 30...126...150% longer.
450;Whirling Defense;Stance. For 8...18...20 seconds, you have 75% chance to block attacks. Whenever you block a projectile in this way, adjacent foes take 5...10...11 damage.
451;Melandru's Resilience;Elite Stance. For 8...18...20 seconds, you gain +4 Health regeneration and +1 Energy regeneration for each condition and hex you are suffering.
452;Dryder's Defenses;Stance. For 5...10...11 seconds, you gain 75% chance to block attacks and 34...55...60 armor against elemental damage.
453;Lightning Reflexes;Stance. For 5...10...11 seconds, you have a 75% chance to block melee and projectile attacks, and you attack 33% faster.
454;Tiger's Fury;Stance. All your non-attack skills are disabled for 5 seconds. For 5...10...11 seconds, you attack 25% faster.
455;Storm Chaser;Stance. For 8...18...20 seconds, you move 25% faster, and you gain 1...4...5 Energy whenever you take elemental damage.
456;Serpent's Quickness;Stance. For 15...27...30 seconds, recharge times for your skills are reduced by 33%. Serpent's Quickness ends if your Health drops below 50%.
457;Dust Trap;Trap. When Dust Trap is triggered, every second (for 5 seconds total), all nearby foes are Blinded for 3...7...8 seconds and take 10...22...25 damage. While activating this skill, you are easily interrupted. Dust Trap ends after 90 seconds.
458;Barbed Trap;Trap. When Barbed Trap is triggered, all nearby foes are struck for 7...20...23 piercing damage, become Crippled, and begin Bleeding for 3...21...25 seconds.  Barbed Trap ends after 90 seconds.  While activating this skill, you are easily interrupted.
459;Flame Trap;Trap. When Flame Trap is triggered, every second (for 3 seconds total), all nearby foes are struck for 5...17...20 fire damage and set on fire for 1...3...3 second[s]. Flame Trap ends after 90 seconds. While activating this skill, you are easily interrupted.
460;Healing Spring;Trap. For 10 seconds, all adjacent allies are healed for 15...51...60 every 2 seconds. While activating this skill, you are easily interrupted.
461;Spike Trap;Elite Trap. When Spike Trap is triggered, every second (for 2 seconds), all nearby foes are struck for 10...34...40 piercing damage, become Crippled for 3...21...25 seconds, and are knocked down. Spike Trap ends after 90 seconds. While activating this skill, you are easily interrupted.
462;Winter;Nature Ritual. Create a level 1...8...10 spirit. For creatures within its range, all elemental damage is cold damage instead. This spirit dies after 30...126...150 seconds.
463;Winnowing;Nature Ritual. Create a level 1...8...10 spirit.  Non-spirit creatures within range take 4 additional damage whenever they take physical damage.  This spirit dies after 30...126...150 seconds.
464;Edge of Extinction;Nature Ritual. Create a level 1...8...10 spirit. If a non-spirit creature within range dies, Edge of Extinction deals 14...43...50 damage to all creatures of the same type that are below 90% Health and within range of the spirit. This spirit dies after 30...126...150 seconds.
465;Greater Conflagration;Elite Nature Ritual. Create a level 1...8...10 spirit. For non-spirit creatures within its range, all physical damage is fire damage instead. This spirit dies after 30...126...150 seconds.
466;Conflagration;Nature Ritual.  Create a level 1...8...10 spirit. For non-spirit creatures within its range, all arrows that hit strike for fire damage. This spirit dies after 30...126...150 seconds.
467;Fertile Season;Nature Ritual. Create a level 1...8...10 spirit. Non-spirit creatures within range have +50...130...150 maximum Health and gain +8 armor. This spirit dies after 15...39...45 seconds.
468;Symbiosis;Nature Ritual. Create a level 1...8...10 spirit. For each enchantment on a non-spirit creature within range, that creature has +27...125...150 maximum Health. This spirit dies after 30...126...150 seconds.
469;Primal Echoes;Nature Ritual. Create a level 1...8...10 Spirit. For non-Spirit creatures within its range, Signets cost 10 Energy to use. This Spirit dies after 30...126...150 seconds.
470;Predatory Season;Nature Ritual. Create a level 1...8...10 spirit. For non-spirit creatures within its range, all healing is reduced by 20%. If any of your attacks hit, you gain 5 Health. This spirit dies after 30...126...150 seconds.
471;Frozen Soil;Nature Ritual. Create a level 1...8...10 spirit. Non-spirit creatures within its range cannot activate resurrection skills. This spirit dies after 30...78...90 seconds.
472;Favorable Winds;Nature Ritual. Create a level 1...8...10 spirit.  For non-spirit creatures within its range, arrows move twice as fast and strike for +6 damage.  This spirit dies after 30...126...150 seconds.
474;Energizing Wind;Nature Ritual. Create a level 1...5...6 spirit. For non-spirit creatures within its range, all skills cost 15 less Energy (minimum cost 10 Energy), and skills recharge 25% slower. This spirit dies after 1...25...31 second[s].
475;Quickening Zephyr;Nature Ritual. Create a level 1...8...10 spirit. For non-spirit creatures within its range, all skills recharge twice as fast and cost 30% more of the base Energy to cast. This spirit dies after 15...39...45 seconds.
476;Nature's Renewal;Nature Ritual. Create a level 1...8...10 spirit. For 30...126...150 seconds, enchantments and hexes cast by non-spirit creatures in range take twice as long to cast, and it costs twice as much Energy to maintain enchantments. This spirit dies after 30...126...150 seconds.
477;Muddy Terrain;Nature Ritual. Create a level 1...8...10 spirit. Non-spirit creatures within its range move 10% slower and speed boosts have no effect. This spirit dies after 30...78...90 seconds.
570;Mark of Insecurity;Elite Hex Spell. For 5...21...25 seconds, target foe suffers from -1...3...3 Health degeneration, and enchantments and stances on target foe expire 30...70...80% faster. All of your non-Assassin skills are disabled for 10 seconds.
571;Disrupting Dagger;Spell. Send out a Disrupting Dagger at target foe that strikes for 10...30...35 earth damage. If that foe was activating a skill, that skill is interrupted. This spell has half the normal range.
572;Deadly Paradox;Stance. All of your attack skills are disabled for 10 seconds. For 5...13...15 seconds, your Assassin skills activate and recharge 33% faster.
763;Jaundiced Gaze;Enchantment Spell. Remove an enchantment from target foe. If an enchantment is removed, for the next 1...12...15 second[s], your next enchantment spell casts 0...1...1 second[s] faster and costs 1...8...10 less Energy.
764;Wail of Doom;Elite Hex Spell. For 1...3...4 second[s], all of target foe's attributes are set to 0.
766;Gaze of Contempt;Spell. If target foe has more than 50% Health, that foe loses all enchantments.
769;Viper's Defense;Spell. All adjacent foes are Poisoned for 5...17...20 seconds. Shadow Step to a nearby location directly away from your target.
770;Return;Spell. All adjacent foes are Crippled for 3...7...8 seconds. Shadow Step to target other ally's location.
771;Aura of Displacement;Elite Enchantment Spell. When you cast Aura of Displacement, Shadow Step to target foe. When you stop maintaining Aura of Displacement you return to your original location.
772;Generous Was Tsungrai;Item Spell. Hold Tsungrai's ashes for up to 15...51...60 seconds and gain +50...122...140 maximum Health. When you drop his ashes, you gain 100...244...280 Health.
773;Mighty Was Vorizun;Item Spell. Hold Vorizun's ashes for up to 15...51...60 seconds. While you hold his ashes, you gain +15 armor and +30 maximum Energy.
775;Death Blossom;Dual Attack. Must follow an off-hand attack. If it hits, Death Blossom strikes target foe for +20...40...45 damage and all adjacent foes take 20...40...45 damage.
776;Twisting Fangs;Dual Attack. Must follow an off-hand attack. If it hits, Twisting Fangs strikes for +10...18...20 damage and struck foe suffers from Bleeding and Deep Wound for 5...17...20 seconds.
777;Horns of the Ox;Dual Attack. Must follow an off-hand attack. If it hits, Horns of the Ox strikes for +1...9...11 damage. If struck foe is not adjacent to any allies, that foe is knocked down.
778;Falling Spider;Off-Hand Attack.  Must strike a knocked-down foe. If it hits, Falling Spider strikes for +15...31...35 damage and target foe is Poisoned for 5...17...20 seconds.
779;Black Lotus Strike;Lead Attack. If it hits, Black Lotus Strike strikes for +10...27...31 damage. If target foe is suffering from a Hex, you gain 5...11...13 Energy.
780;Fox Fangs;Off-Hand Attack. Must follow a lead attack. Fox Fangs cannot be blocked and strikes for +10...30...35 damage if it hits.
781;Moebius Strike;Elite Off-Hand Attack. Must follow a Dual Attack. If it hits, Moebius Strike strikes for +10...30...35 damage. If you strike a foe whose Health is below 50%, all your other attack skills are recharged.
782;Jagged Strike;Lead Attack. If Jagged Strike hits, your target suffers from Bleeding for 5...17...20 seconds.
783;Unsuspecting Strike;Lead Attack. If this attack hits, you strike for +19...29...31 damage. If your target was above 90% Health you deal an additional 15...63...75 damage.
784;Entangling Asp;Spell. Entangling Asp must follow a lead attack. Target foe is knocked down and becomes Poisoned for 5...17...20 seconds.
785;Mark of Death;Hex Spell.  For 4...9...10 seconds, target foe gains 33% less benefit from healing.
786;Iron Palm;Skill. Target touched foe suffers 5...41...50 damage, and if that foe is suffering from a hex or condition that foe is knocked down. Iron Palm counts as a lead attack.
787;Resilient Weapon;Weapon Spell. For 3...10...12 seconds, target ally has a Resilient Weapon. While suffering from a hex or condition, that ally gains +1...5...6 Health regeneration and +24 armor.
788;Blind Was Mingson;Item Spell. Hold Mingson's ashes for up to 15...51...60 seconds. When you drop his ashes, all nearby foes are Blinded for 3...7...8 seconds.
789;Grasping Was Kuurong;Elite Item Spell. Hold Kuurong's ashes for up to 15...51...60 seconds. When you drop his ashes, all nearby foes are struck for 15...63...75 damage and knocked down.
790;Vengeful Was Khanhei;Elite Item Spell. Hold Khanhei's ashes for 5...10...11 seconds. Whenever a foe strikes you in combat while you are holding Khanhei's ashes, you steal 5...29...35 Health from that foe.
791;Flesh of My Flesh;Spell. Lose half your Health. Resurrect target party member with your current Health and 5...17...20% Energy.
792;Splinter Weapon;Weapon Spell. For 20 seconds, target ally has a Splinter Weapon. Target ally's next 1...4...5 attack[s] deal 5...41...50 damage to up to 4 adjacent foes.
793;Weapon of Warding;Weapon Spell. For 3...7...8 seconds, target ally has a Weapon of Warding that grants target ally +2...4...4 Health regeneration and a 50% chance to block.
794;Wailing Weapon;Weapon Spell. For 3...8...9 seconds, target ally has a Wailing Weapon. Whenever the Wailing Weapon strikes an attacking foe, that foe is interrupted.
795;Nightmare Weapon;Weapon Spell. For 12 seconds, target ally has a Nightmare Weapon. Target ally's next 3 attacks are reduced by 10...42...50 damage and steal up to 10...42...50 Health.
799;Beguiling Haze;Elite Spell. Shadow Step to target foe. That foe becomes Dazed for 3...8...9 seconds.
800;Enduring Toxin;Hex Spell.  For 5 seconds, target foe suffers -1...4...5 Health degeneration. If that foe is moving when Enduring Toxin would end, Enduring Toxin is renewed for another 5 seconds.
801;Shroud of Silence;Elite Hex Spell. All of your spells are disabled for 15 seconds. For 1...3...3 second[s], target touched foe cannot cast spells.
802;Expose Defenses;Hex Spell. For 1...9...11 second[s], target foe cannot block your attacks.
803;Power Leech;Elite Hex Spell. If target foe is casting a spell or chant, that skill is interrupted and for 10 seconds, whenever that foe casts a spell, you steal up to 5...13...15 Energy from that foe.
804;Arcane Languor;Elite Hex Spell. For 1...8...10 second[s], all spells cast by the target foe cause 10 Overcast.
805;Animate Vampiric Horror;Spell. Exploit nearest corpse to animate a level 1...14...17 Vampiric Horror. Whenever a Vampiric Horror you control deals damage, you gain the same amount of Health.
806;Cultist's Fervor;Elite Enchantment Spell. For 5 seconds and 3 seconds longer for every rank of Soul Reaping, your Necromancer spells cost -1...5...6 Energy to cast but you suffer from Bleeding for 10 seconds each time you cast a Necromancer spell.
808;Reaper's Mark;Elite Hex Spell. For 30 seconds, target foe suffers -1...4...5 Health degeneration. If that foe dies while hexed with Reaper's Mark, you gain 5...13...15 Energy.
809;Shatterstone;Elite Hex Spell. Target foe is struck for 25...85...100 cold damage and is hexed with Shatterstone for 3 seconds. When Shatterstone ends, that foe and all nearby foes are struck for 25...85...100 cold damage.
810;Protector's Defense;Skill. For 5...10...11 seconds, allies adjacent to you have a 75% chance to block incoming attacks. Protector's Defense ends if you move.
811;Run as One;Stance. For 5...13...15 seconds, you and your pet run 25% faster.
812;Defiant Was Xinrae;Elite Item Spell. Hold Xinrae's ashes for up to 15...51...60 seconds. While you hold her ashes, you cannot lose more than 20% of your max Health from a single hit. When you drop her ashes, you steal 5...41...50 Health from all nearby foes.
813;Lyssa's Aura;Elite Enchantment Spell. For 10 seconds, you have +0...4...5 Energy regeneration. This enchantment reapplies itself every time you cast a spell on a foe.
814;Shadow Refuge;Enchantment Spell. For 6 seconds, you gain 5...9...10 Health regeneration. When Shadow Refuge ends, you gain 40...88...100 Health if you are attacking.
815;Scorpion Wire;Hex Spell.  For 8...18...20 seconds, the next time you and target foe are more than 100' apart, you Shadow Step to that foe and that foe is knocked down. This spell has half the normal range.
816;Mirrored Stance;Hex Spell. For 10...30...35 seconds, whenever target foe enters a stance, you enter the same stance.
817;Discord;Elite Spell. If target foe is suffering from a condition and under the effects of a hex or an enchantment, that foe suffers 30...94...110 damage.
818;Well of Weariness;Well Spell. Exploit target corpse to create a Well of Weariness for 10...46...55 seconds. Enemies within the Well of Weariness suffer -1 Energy degeneration.
819;Vampiric Spirit;Elite Enchantment Spell. Steal up to 5...41...50 Health from target foe. For 10 seconds, you have +5...9...10 Health regeneration.
820;Depravity;Elite Hex Spell. For 5...17...20 seconds, whenever target foe casts a spell, that foe and one nearby foe lose 1...4...5 Energy.
821;Icy Veins;Elite Hex Spell. Target foe is struck for 10...74...90 cold damage. For 10...30...35 seconds, if target foe dies all nearby foes are struck for 20...92...110 cold damage.
822;Weaken Knees;Elite Hex Spell. For 1...13...16 second[s], target foe suffers -1...3...4 Health degeneration and takes 5...9...10 damage while moving.
823;Burning Speed;Enchantment Spell. For 7 seconds, you are set on fire and move 30...42...45% faster. When Burning Speed ends, all adjacent foes are set on fire for 3...8...9 seconds.
824;Lava Arrows;Spell. Lava Arrows fly toward up to 3 foes near your target and strike for 20...56...65 fire damage if they hit.
825;Bed of Coals;Spell. Create a Bed of Coals at target foe's location. For 5 seconds, foes adjacent to target foe are struck for 5...24...29 fire damage each second. Any foe knocked down on the Bed of Coals is set on fire for 3...6...7 seconds.
826;Shadow Form;Elite Enchantment Spell. For 5...18...21 seconds, you cannot be the target of enemy spells, and you gain 5 damage reduction for each Assassin enchantment on you. You cannot deal more than 5...21...25 damage with a single skill or attack.
827;Siphon Strength;Elite Hex Spell. For 5...17...20 seconds, target foe deals 5...41...50 less damage with attacks and all of your attacks against that foe have an additional 33% chance of being a critical hit.
828;Vile Miasma;Hex Spell. Target foe is struck for 10...54...65 cold damage. If suffering from a condition, that foe is hexed with Vile Miasma and suffers -1...4...5 Health degeneration for 10 seconds.
830;Ray of Judgment;Elite Spell. Invoke a Ray of Judgment at target foe's location. For 5 seconds, target foe and all foes adjacent to this location take 5...37...45 holy damage each second and begin Burning for 1...3...3 second[s].
831;Primal Rage;Elite Stance. For 1...12...15 second[s], you attack 33% faster and move 25% faster, but you take double damage.
832;Animate Flesh Golem;Elite Spell. Exploit nearest corpse to animate a level 3...21...25 Flesh Golem. The Flesh Golem leaves an exploitable corpse. You can have only one Flesh Golem at a time.
834;Reckless Haste;Hex Spell. For 6...11...12 seconds, target foe and all adjacent foes are hexed with Reckless Haste. While hexed, they attack 25% faster but have a 50% chance to miss with attacks.
835;Blood Bond;Hex Spell. For 3...10...12 seconds, target foe and all adjacent foes are hexed with Blood Bond. Whenever an ally hits one of them with an attack, that ally gains 5...17...20 Health. If one of these foes dies while hexed, all allies adjacent to that foe are healed for 20...84...100 Health.
836;Ride the Lightning;Elite Spell. You Ride the Lightning to target. All adjacent foes are Blinded for 1...4...5 second[s].  If your target is a foe, it is struck for 10...58...70 lightning damage. This spell has 25% armor penetration.
837;Energy Boon;Elite Enchantment Spell. For 36...55...60 seconds, Energy Boon raises the maximum Health of you and target ally by 1...3...3 for each point of your respective maximum Energy.  When this enchantment is first applied, you and your target gain 1...10...12 Energy.  You gain an additional 1 Energy for every 2 points you have in Energy Storage.
838;Dwayna's Sorrow;Enchantment Spell. For 30 seconds, target ally and all nearby allies are enchanted with Dwayna's Sorrow. If an ally dies while under the effects of Dwayna's Sorrow, your party is healed for 5...41...50.
839;"Retreat!";Shout. If there are any dead allies within earshot, your party moves 33% faster for 5...10...11 seconds.
840;Poisoned Heart;Spell. You and all adjacent foes are Poisoned for 5...13...15 seconds.
841;Fetid Ground;Spell. Target foe is struck for 15...55...65 cold damage. If that foe is knocked down, that foe becomes Poisoned for 5...17...20 seconds.
842;Arc Lightning;Spell. Target foe is struck for 5...33...40 lightning damage. If you are Overcast, two foes near your target are struck for 15...71...85 lightning damage. Damage from Arc Lightning has 25% armor penetration.
843;Gust;Elite Enchantment Spell. For 5...10...11 seconds, both you and target ally move 33% faster.  When you cast this spell, all foes near you and your target take 15...59...70 cold damage. Foes struck by Gust while attacking or moving are knocked down.
844;Churning Earth;Spell. Create Churning Earth at target foe's location. For the next 5 seconds, Churning Earth strikes foes near that location for 10...34...40 earth damage each second. Any foe moving faster than normal when struck by Churning Earth is knocked down.
845;Liquid Flame;Spell. Target foe is struck for 7...91...112 fire damage. If that foe is attacking or casting a spell, nearby foes are also struck for 7...91...112 fire damage.
846;Steam;Spell.  Target foe is struck for 20...52...60 cold damage. If target foe is on fire, Steam Blinds that foe for 5...9...10 seconds.
847;Boon Signet;Elite Signet. Heal target ally for 20...68...80 Health. Your next Healing or Protection Prayer [sic] spell that targets an ally heals for an additional 20...68...80 Health.
848;Reverse Hex;Enchantment Spell. Remove one hex from target ally. If a hex was removed in this way, for 5...9...10 seconds, the next time target ally would take damage, that damage is reduced by 5...41...50.
849;Lacerating Chop;Axe Attack. If Lacerating Chop hits, you deal  +5...17...20 damage. If it strikes a knocked down foe your target suffers from Bleeding for 5...17...20 seconds.
850;Fierce Blow;Hammer Attack. If Fierce Blow hits, you strike for +5...17...20 damage. If target foe was [sic] suffering from Weakness, that foe also suffers from a Deep Wound for 1...7...8 second[s].
851;Sun and Moon Slash;Sword Attack. Attack target foe twice. These attacks cannot be blocked.
852;Splinter Shot;Bow Attack. If Splinter Shot hits, you deal +3...13...15 damage. If Splinter Shot is blocked, all foes adjacent to your target take 5...53...65 damage.
853;Melandru's Shot;Elite Bow Attack. If Melandru's Shot hits, your target begins Bleeding for 5...21...25 seconds. If it hits a foe that is moving or knocked down, that foe takes +10...22...25 damage and is Crippled for 5...13...15 seconds.
854;Snare;Trap. When Snare is triggered, all nearby foes become Crippled for 3...13...15 seconds. Snare ends after 90 seconds. While activating this skill, you are easily interrupted.
858;Dancing Daggers;Spell. Send out three Dancing Daggers at target foe, each striking for 5...29...35 earth damage if they hit. Dancing Daggers has half the normal range. This skill counts as a lead attack.
859;Conjure Nightmare;Hex Spell.  For 2...13...16 seconds, target foe suffers -8 Health degeneration.
860;Signet of Disruption;Signet. If target foe is casting a spell, the spell is interrupted and that foe suffers 10...43...51 damage. If that foe is hexed, Signet of Disruption can interrupt any non-spell skills.
862;Ravenous Gaze;Elite Spell. Deal 15...27...30 damage and steal 15...27...30 Health from target foe and all nearby foes.
863;Order of Apostasy;Elite Enchantment Spell. For 5 seconds, whenever a party member hits a foe with physical damage, that foe loses one enchantment. For each Monk enchantment removed, you lose 25...17...15% maximum Health.
864;Oppressive Gaze;Spell. Target foe and adjacent foes take 10...26...30 shadow damage. Foes already suffering from a condition are Poisoned and Weakened for 3...10...12 seconds.
865;Lightning Hammer;Spell. Target foe is struck for 10...82...100 lightning damage and applies[sic] Cracked Armor for 5...17...20 seconds. Lightning Hammer has 25% armor penetration.
866;Vapor Blade;Spell.  Target foe is struck for 15...111...135 cold damage. Vapor Blade deals half damage if that foe has any enchantments on them.
867;Healing Light;Elite Spell. Heal target ally for 40...88...100 Health. If your target has an enchantment, you gain 1...3...3 Energy.
869;"Coward!";Elite Shout. If target foe is moving, that foe is knocked down.
870;Pestilence;Nature Ritual. Create a level 1...8...10 spirit. When any creature within its range dies, conditions on that creature spread to any creature in the area already suffering from a condition. This spirit dies after 30...78...90 seconds.
871;Shadowsong;Binding Ritual. Create a level 1...8...10 spirit. The spirit's attacks deal 5...17...20 damage and cause Blindness for 1...5...6 second[s]. This spirit dies after 30 second[s].
876;Signet of Shadows;Signet. Target foe takes 5...29...35 damage. If your target was Blinded, that foe suffers an additional 15...51...60 damage.
877;Lyssa's Balance;Spell. Target foe loses one Enchantment. If you have more Enchantments than target foe, this skill has no effect.
878;Visions of Regret;Elite Hex Spell. For 10 seconds, target foe and adjacent foes take 15...39...45 damage whenever they use a skill and 5...41...50 additional damage if not under the effects of another Mesmer hex.
879;Illusion of Pain;Hex Spell. For 8 seconds, target foe has -3...9...10 Health degeneration and takes 3...9...10 damage each second. When Illusion of Pain ends, that foe is healed for 36...103...120.
880;Stolen Speed;Elite Hex Spell. For 1...8...10 seconds, spells cast by the target foe and all adjacent foes take 100% longer to cast. Spells targeting these foes that are cast by you or your allies take 50% less time to cast.
881;Ether Signet;Signet. If you have less than 5...9...10 Energy, gain 10...18...20 Energy.
882;Signet of Disenchantment;Signet.  Lose all Energy. Target foe loses one enchantment.
883;Vocal Minority;Hex Spell. For 5...17...20 seconds, target foe and all nearby foes cannot use shouts or chants.
884;Searing Flames;Elite Spell. Target foe and all nearby foes are struck with Searing Flames. Foes already on fire when this skill is cast are struck for 10...82...100 fire damage. Foes not already on fire begin Burning for 1...6...7 seconds.
885;Shield Guardian;Enchantment Spell. For 1...3...4 seconds, all party members in earshot have a 75% chance to block incoming attacks. If an attack is blocked, all allies in earshot are healed for 10...34...40 and Shield Guardian ends.
886;Restful Breeze;Enchantment Spell. For 8...16...18 seconds, target ally has +10 Health regeneration. This enchantment ends if that ally attacks or uses a skill.
887;Signet of Rejuvenation;Signet. Heal target ally for 15...63...75. If target ally is casting a spell or attacking, that ally is healed for an additional 15...63...75 Health.
888;Whirling Axe;Elite Axe Attack. If Whirling Axe hits, you strike for +5...17...20 damage and any stance being used by your target ends. This attack cannot be blocked.
889;Forceful Blow;Elite Hammer Attack. If Forceful Blow hits, you strike for +10...26...30 damage and any stance being used by target foe ends. Target foe suffers from Weakness for 5...17...20 seconds. This attack cannot be blocked.
891;"None Shall Pass!";Shout. All nearby foes that are moving are knocked down. This skill recharges 1...7...8 second[s] faster for each foe knocked down (maximum 25 seconds).
892;Quivering Blade;Elite Sword Attack. If Quivering Blade hits, you strike for +10...34...40 damage. If this attack hits a moving foe, that foe is Dazed for 5 seconds.
893;Seeking Arrows;Preparation. For 3...12...14 seconds, your arrows cannot be blocked. Seeking Arrows ends if you fail to hit.
898;Overload;Hex Spell. For 5 seconds, target foe suffers -1...3...3 Health degeneration. If target foe is using a skill, then Overload deals 15...63...75 damage to that foe and all adjacent foes.
899;Images of Remorse;Hex Spell. For 5...9...10 seconds, target foe suffers -1...3...3 Health degeneration. If that foe was attacking, that foe takes 10...44...52 damage.
900;Shared Burden;Elite Hex Spell. For 5...17...20 seconds, target foe and all nearby foes attack, cast spells, and move 50% slower.
901;Soul Bind;Elite Hex Spell. For 30 seconds, every time target foe is healed, the healer takes 20...68...80 damage. This hex ends if target is suffering from a Smiting Prayers hex.
902;Blood of the Aggressor;Spell. Steal up to 5...37...45 Health from target foe. If that foe was attacking, that foe suffers Weakness for 3...10...12 seconds.
903;Icy Prism;Spell. Target foe is struck for 15...63...75 cold damage. If that foe has a Water Magic hex, Icy Prism deals +[sic]15...63...75 cold damage to all other nearby foes.
904;Furious Axe;Axe Attack. If Furious Axe hits, you strike for +5...29...35 damage. If it is blocked you gain 3 strikes worth of adrenaline.
905;Auspicious Blow;Hammer Attack. If Auspicious Blow hits, you strike for +5...17...20 damage and gain 3...7...8 Energy. If target foe is suffering from Weakness, this attack is unblockable.
906;"On Your Knees!";Shout. Lose all adrenaline. If any adjacent foes are knocked down, all of your stances are recharged.
907;Dragon Slash;Elite Sword Attack. If Dragon Slash hits, you strike for +10...34...40 damage and gain 1...4...5 strike[s] of adrenaline.
908;Marauder's Shot;Bow Attack. If Marauder's Shot hits, you strike for +10...30...35 damage and all your non-attack skills are disabled for 10 seconds.
909;Focused Shot;Bow Attack. If Focused Shot hits, you strike for  +10...22...25 damage but all of your other attack skills are disabled for 5...3...3 seconds.
910;Spirit Rift;Spell. Open a Spirit Rift at target foe's location. After 3 seconds, all adjacent foes are struck for 25...105...125 lightning damage and suffer from Cracked Armor for 1...16...20 second[s].
911;Union;Binding Ritual. Create a level 1...10...12 spirit. Whenever a non-spirit ally in its range takes damage or life steal, it is reduced by 15 and the spirit takes 15 damage. This spirit dies after 30...54...60 seconds.
913;Tranquil Was Tanasen;Elite Item Spell. Hold Tanasen's ashes for up to 5...17...20 seconds. While you hold his ashes, you have +10...22...25 armor and cannot be interrupted.
914;Consume Soul;Elite Spell. You steal 5...49...60 Health from target foe. All hostile summoned creatures in the area of that foe take 25...105...125 damage.
915;Spirit Light;Spell. Target ally is healed for 60...156...180. If any spirits are within earshot, you don't sacrifice Health.
916;Lamentation;Hex Spell. For 5...17...20 seconds, target foe and all nearby foes suffer -0...2...3 Health degeneration. When this hex is applied, these foes take 10...42...50 damage if you are within earshot of a spirit or corpse.
917;Rupture Soul;Spell. Target allied spirit is destroyed. All nearby enemies are struck for 50...122...140 lightning damage and become blinded for 3...10...12 seconds.
918;Spirit to Flesh;Spell. Target touched allied spirit is destroyed. All nearby allies are healed for 30...198...240.
919;Spirit Burn;Spell. Target foe is struck for 5...41...50 lightning damage. If any spirits are within earshot, Spirit Burn causes Burning for 1...4...5 second[s].
920;Destruction;Binding Ritual. Create a level 1...11...14 Spirit that dies after 30 seconds. When this Spirit dies, all foes in the area take 5...21...25 damage for each second the Spirit was alive (maximum 150 damage).
